criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
squared_error,best,10,5,0.30000000000000004,1000,0.7,0.3477130591452584
absolute_error,random,37,5,0.2,1000,0.5,0.3445589674284341
poisson,best,100,10,0.4,100,0.2,0.3477130591452584
absolute_error,best,73,10,0.5,10000,0.7999999999999999,0.3445589674284341
friedman_mse,best,2,73,0.30000000000000004,10,0.7,0.3477130591452584
squared_error,best,73,37,0.6,1000,0.1,0.3477130591452584
squared_error,best,100,5,0.9999999999999999,10000,0.6,0.3477130591452584
squared_error,random,100,2,0.8999999999999999,10000,0.2,0.3477130591452584
poisson,best,2,100,0.9999999999999999,100,0.5,0.3477130591452584
squared_error,best,2,73,0.30000000000000004,10000,0.2,0.3477130591452584
friedman_mse,best,5,10,0.1,100,0.0,0.3477130591452584
absolute_error,best,5,2,0.7999999999999999,100,0.0,0.3445589674284341
poisson,best,5,10,0.2,1,0.0,0.3477130591452584
absolute_error,random,73,73,0.7999999999999999,100,0.0,0.3445589674284341
poisson,random,100,1,0.4,1,0.0,0.3477130591452584
absolute_error,random,100,1,0.7999999999999999,1,0.5,0.3445589674284341
friedman_mse,random,37,5,0.30000000000000004,100,0.9999999999999999,0.3477130591452584
friedman_mse,random,37,5,0.1,1000,0.9999999999999999,0.3477130591452584
absolute_error,best,5,73,0.8999999999999999,1,0.2,0.3445589674284341
absolute_error,best,37,2,0.6,100,0.5,0.3445589674284341
poisson,random,73,1,0.7,10000,0.5,0.3477130591452584
poisson,random,73,37,0.30000000000000004,10,0.8999999999999999,0.3477130591452584
absolute_error,random,10,2,0.6,1,0.6,0.3445589674284341
friedman_mse,random,5,100,0.5,10000,0.4,0.3477130591452584
poisson,best,37,2,0.1,10,0.7,0.3477130591452584
poisson,random,100,10,0.7999999999999999,100,0.30000000000000004,0.3477130591452584
friedman_mse,random,10,10,0.1,10,0.8999999999999999,0.3477130591452584
squared_error,random,73,100,0.8999999999999999,1000,0.7999999999999999,0.3477130591452584
poisson,random,2,37,0.30000000000000004,10,0.7999999999999999,0.3477130591452584
squared_error,random,100,37,0.4,1000,0.1,0.3477130591452584
poisson,random,100,10,0.2,1000,0.4,0.3477130591452584
friedman_mse,random,100,100,0.9999999999999999,10,0.9999999999999999,0.3477130591452584
absolute_error,best,100,1,0.2,100,0.7,0.3445589674284341
squared_error,best,2,1,0.5,10000,0.6,0.3477130591452584
squared_error,random,73,10,0.6,10000,0.6,0.3477130591452584
friedman_mse,random,100,1,0.30000000000000004,100,0.2,0.3477130591452584
absolute_error,best,100,73,0.7999999999999999,1,0.7,0.3445589674284341
friedman_mse,best,100,73,0.7,10000,0.0,0.3477130591452584
friedman_mse,random,37,5,0.0,100,0.7999999999999999,0.1861930610520104
poisson,best,5,10,0.2,1000,0.30000000000000004,0.3477130591452584
poisson,best,100,100,0.7,10,0.8999999999999999,0.3477130591452584
poisson,best,2,1,0.1,10,0.2,0.3477130591452584
poisson,best,37,37,0.0,100,0.7,0.11196298694966623
poisson,best,100,1,0.7,100,0.7999999999999999,0.3477130591452584
poisson,best,100,100,0.1,1,0.9999999999999999,0.3477130591452584
friedman_mse,random,10,1,0.8999999999999999,10000,0.5,0.3477130591452584
friedman_mse,best,100,37,0.6,100,0.6,0.3477130591452584
poisson,best,5,37,0.5,100,0.2,0.3477130591452584
squared_error,random,2,2,0.8999999999999999,10000,0.2,0.3477130591452584
absolute_error,random,5,1,0.7999999999999999,10,0.8999999999999999,0.3445589674284341
friedman_mse,random,73,37,0.6,1000,0.8999999999999999,0.3477130591452584
friedman_mse,random,100,5,0.6,10,0.30000000000000004,0.3477130591452584
absolute_error,random,10,10,0.0,10,0.0,0.11038478093868875
absolute_error,best,2,2,0.6,1,0.4,0.3445589674284341
absolute_error,best,100,73,0.5,10,0.9999999999999999,0.3445589674284341
poisson,random,73,1,0.7999999999999999,100,0.9999999999999999,0.3477130591452584
squared_error,random,73,5,0.4,10,0.1,0.3477130591452584
friedman_mse,best,2,37,0.7999999999999999,100,0.8999999999999999,0.3477130591452584
squared_error,best,37,100,0.0,10,0.6,0.14407264139228765
absolute_error,best,5,10,0.0,100,0.0,0.10827467469635003
absolute_error,best,2,37,0.7,10000,0.30000000000000004,0.3445589674284341
poisson,random,10,37,0.6,100,0.1,0.3477130591452584
absolute_error,best,100,10,0.7,10,0.7999999999999999,0.3445589674284341
friedman_mse,best,10,73,0.6,1000,0.5,0.3477130591452584
poisson,best,5,100,0.8999999999999999,10000,0.0,0.3477130591452584
squared_error,random,37,2,0.7999999999999999,100,0.7,0.3477130591452584
squared_error,random,73,2,0.7,100,0.5,0.3477130591452584
absolute_error,best,2,1,0.8999999999999999,1000,0.9999999999999999,0.3445589674284341
poisson,best,5,100,0.1,1,0.8999999999999999,0.3477130591452584
absolute_error,best,5,10,0.7999999999999999,100,0.7,0.3445589674284341
squared_error,random,37,73,0.7999999999999999,1,0.4,0.3477130591452584
friedman_mse,best,100,5,0.7,100,0.8999999999999999,0.3477130591452584
friedman_mse,best,2,2,0.0,10000,0.1,0.1973708447557795
absolute_error,best,10,1,0.0,100,0.7,0.11608973922164169
poisson,random,10,2,0.6,1000,0.7999999999999999,0.3477130591452584
absolute_error,best,2,10,0.2,10000,0.4,0.3445589674284341
poisson,random,73,73,0.30000000000000004,10000,0.2,0.3477130591452584
squared_error,best,2,100,0.4,100,0.0,0.3477130591452584
absolute_error,random,37,37,0.6,1,0.8999999999999999,0.3445589674284341
squared_error,random,2,1,0.0,10,0.4,0.12316751070409215
absolute_error,random,5,37,0.5,1000,0.7,0.3445589674284341
friedman_mse,random,10,73,0.7999999999999999,10,0.0,0.3477130591452584
friedman_mse,random,100,10,0.2,10,0.9999999999999999,0.3477130591452584
friedman_mse,best,5,73,0.1,10000,0.2,0.3477130591452584
squared_error,random,37,10,0.1,1,0.6,0.3477130591452584
poisson,random,10,37,0.1,1,0.0,0.3477130591452584
poisson,random,100,73,0.0,1,0.9999999999999999,0.3397334064045579
friedman_mse,best,5,10,0.4,10000,0.0,0.3477130591452584
absolute_error,random,37,5,0.7999999999999999,100,0.8999999999999999,0.3445589674284341
squared_error,random,73,5,0.1,1,0.7,0.3477130591452584
poisson,random,10,10,0.8999999999999999,1,0.9999999999999999,0.3477130591452584
friedman_mse,random,2,10,0.7,10000,0.7999999999999999,0.3477130591452584
squared_error,best,100,100,0.4,10000,0.2,0.3477130591452584
squared_error,best,10,73,0.8999999999999999,1,0.4,0.3477130591452584
poisson,best,100,2,0.30000000000000004,10000,0.2,0.3477130591452584
squared_error,random,100,10,0.30000000000000004,100,0.2,0.3477130591452584
absolute_error,random,10,1,0.4,10000,0.5,0.3445589674284341
squared_error,best,5,10,0.7,100,0.4,0.3477130591452584
friedman_mse,random,5,1,0.9999999999999999,100,0.7999999999999999,0.3477130591452584
absolute_error,best,5,1,0.1,100,0.4,0.21925432221772853
friedman_mse,best,2,100,0.2,10000,0.4,0.3477130591452584
friedman_mse,random,37,10,0.2,10000,0.8999999999999999,0.3477130591452584
poisson,best,100,1,0.30000000000000004,1000,0.2,0.3477130591452584
poisson,best,73,37,0.2,10000,0.9999999999999999,0.3477130591452584
absolute_error,random,73,1,0.1,100,0.8999999999999999,0.3445589674284341
squared_error,best,5,100,0.7,100,0.8999999999999999,0.3477130591452584
absolute_error,random,2,1,0.8999999999999999,100,0.2,0.3445589674284341
absolute_error,best,37,37,0.8999999999999999,1,0.9999999999999999,0.3445589674284341
poisson,random,73,73,0.8999999999999999,1,0.7999999999999999,0.3477130591452584
absolute_error,best,5,1,0.6,1,0.7,0.3445589674284341
friedman_mse,random,2,10,0.4,1,0.0,0.3477130591452584
squared_error,random,10,37,0.5,1,0.1,0.3477130591452584
absolute_error,best,10,73,0.4,1,0.2,0.3445589674284341
squared_error,best,2,5,0.7,10000,0.7999999999999999,0.3477130591452584
friedman_mse,random,5,37,0.7,10000,0.1,0.3477130591452584
poisson,random,73,100,0.7999999999999999,10,0.8999999999999999,0.3477130591452584
friedman_mse,best,100,5,0.6,10000,0.6,0.3477130591452584
absolute_error,random,73,10,0.1,10,0.5,0.3445589674284341
poisson,random,73,2,0.9999999999999999,100,0.7999999999999999,0.3477130591452584
squared_error,best,100,10,0.1,10,0.0,0.22081464268088155
friedman_mse,best,2,10,0.1,100,0.30000000000000004,0.3477130591452584
squared_error,random,73,2,0.9999999999999999,10000,0.7,0.3477130591452584
squared_error,random,73,10,0.7999999999999999,10,0.7,0.3477130591452584
absolute_error,best,10,2,0.6,1,0.1,0.3445589674284341
squared_error,random,2,1,0.4,10000,0.6,0.3477130591452584
squared_error,best,2,2,0.7,10,0.0,0.3477130591452584
friedman_mse,best,10,73,0.30000000000000004,1,0.5,0.3477130591452584
absolute_error,best,100,10,0.1,1000,0.8999999999999999,0.21925432221772853
poisson,best,2,2,0.2,10,0.30000000000000004,0.3477130591452584
poisson,random,2,1,0.7,100,0.1,0.3477130591452584
squared_error,best,2,5,0.1,100,0.2,0.22081464268088155
friedman_mse,best,37,5,0.7,100,0.0,0.3477130591452584
poisson,random,2,10,0.1,10,0.9999999999999999,0.3477130591452584
friedman_mse,random,10,100,0.8999999999999999,100,0.6,0.3477130591452584
squared_error,best,100,100,0.9999999999999999,1,0.2,0.3477130591452584
poisson,random,73,5,0.7999999999999999,1,0.2,0.3477130591452584
poisson,random,2,73,0.5,1,0.9999999999999999,0.3477130591452584
friedman_mse,random,100,73,0.7999999999999999,10000,0.8999999999999999,0.3477130591452584
squared_error,best,100,1,0.5,100,0.0,0.3477130591452584
poisson,best,10,37,0.5,100,0.9999999999999999,0.3477130591452584
absolute_error,random,37,73,0.7,10000,0.1,0.3445589674284341
squared_error,best,10,1,0.2,10,0.1,0.3477130591452584
friedman_mse,best,2,100,0.8999999999999999,10000,0.5,0.3477130591452584
friedman_mse,best,5,2,0.5,1,0.6,0.3477130591452584
friedman_mse,best,10,5,0.5,100,0.4,0.3477130591452584
squared_error,best,100,5,0.0,100,0.7999999999999999,0.12365848227822344
friedman_mse,random,2,2,0.6,1,0.2,0.3477130591452584
squared_error,random,100,10,0.7,10,0.2,0.3477130591452584
squared_error,random,100,5,0.6,1000,0.30000000000000004,0.3477130591452584
absolute_error,best,37,5,0.7999999999999999,100,0.6,0.3445589674284341
friedman_mse,random,73,37,0.30000000000000004,1000,0.6,0.3477130591452584
friedman_mse,random,10,2,0.5,10000,0.6,0.3477130591452584
absolute_error,best,37,5,0.4,100,0.0,0.3445589674284341
friedman_mse,best,10,37,0.7999999999999999,1000,0.2,0.3477130591452584
squared_error,best,10,100,0.7,10,0.4,0.3477130591452584
poisson,random,5,73,0.7999999999999999,10,0.1,0.3477130591452584
squared_error,random,2,37,0.9999999999999999,10000,0.4,0.3477130591452584
poisson,best,10,10,0.4,10,0.0,0.3477130591452584
friedman_mse,random,5,2,0.5,100,0.8999999999999999,0.3477130591452584
poisson,best,37,10,0.8999999999999999,10,0.5,0.3477130591452584
absolute_error,best,2,2,0.7,100,0.7999999999999999,0.3445589674284341
squared_error,best,37,2,0.7999999999999999,1000,0.9999999999999999,0.3477130591452584
poisson,best,5,100,0.7,100,0.6,0.3477130591452584
friedman_mse,random,5,1,0.1,1,0.30000000000000004,0.3477130591452584
squared_error,random,2,100,0.5,10000,0.4,0.3477130591452584
poisson,best,37,73,0.6,100,0.7999999999999999,0.3477130591452584
squared_error,random,5,10,0.6,10000,0.2,0.3477130591452584
friedman_mse,random,5,37,0.2,100,0.9999999999999999,0.3477130591452584
squared_error,best,37,100,0.9999999999999999,1,0.7,0.3477130591452584
friedman_mse,random,100,37,0.9999999999999999,10000,0.0,0.3477130591452584
absolute_error,random,10,37,0.5,1000,0.4,0.3445589674284341
poisson,best,10,5,0.2,10,0.2,0.3477130591452584
absolute_error,random,73,37,0.5,1,0.2,0.3445589674284341
friedman_mse,random,5,73,0.8999999999999999,1000,0.5,0.3477130591452584
friedman_mse,best,5,2,0.8999999999999999,10000,0.30000000000000004,0.3477130591452584
poisson,best,2,73,0.7999999999999999,1,0.2,0.3477130591452584
poisson,best,10,5,0.7999999999999999,10000,0.2,0.3477130591452584
absolute_error,best,10,100,0.0,10000,0.4,0.14385226143314467
absolute_error,random,10,10,0.4,100,0.5,0.3445589674284341
friedman_mse,random,2,10,0.5,10000,0.6,0.3477130591452584
squared_error,best,73,10,0.5,10,0.30000000000000004,0.3477130591452584
poisson,random,2,2,0.6,1,0.2,0.3477130591452584
squared_error,random,10,5,0.4,100,0.2,0.3477130591452584
absolute_error,best,100,1,0.9999999999999999,10,0.7,0.3445589674284341
absolute_error,best,37,2,0.1,1,0.1,0.21925432221772853
absolute_error,best,37,10,0.6,1,0.9999999999999999,0.3445589674284341
absolute_error,random,73,5,0.8999999999999999,10000,0.8999999999999999,0.3445589674284341
absolute_error,best,2,73,0.6,10,0.5,0.3445589674284341
poisson,random,5,1,0.5,10000,0.1,0.3477130591452584
squared_error,best,100,1,0.6,10000,0.7,0.3477130591452584
absolute_error,random,73,10,0.8999999999999999,100,0.8999999999999999,0.3445589674284341
squared_error,random,73,5,0.7999999999999999,100,0.6,0.3477130591452584
friedman_mse,random,100,5,0.9999999999999999,100,0.8999999999999999,0.3477130591452584
absolute_error,random,2,10,0.9999999999999999,10000,0.4,0.3445589674284341
squared_error,best,73,2,0.6,10,0.6,0.3477130591452584
friedman_mse,random,2,73,0.2,10000,0.30000000000000004,0.3477130591452584
absolute_error,random,5,37,0.2,10000,0.0,0.3445589674284341
absolute_error,random,2,1,0.7999999999999999,10000,0.7,0.3445589674284341
absolute_error,best,2,37,0.30000000000000004,10000,0.2,0.3445589674284341
poisson,random,100,10,0.9999999999999999,10,0.6,0.3477130591452584
friedman_mse,random,73,5,0.2,100,0.6,0.3477130591452584
absolute_error,random,10,2,0.6,1000,0.1,0.3445589674284341
absolute_error,random,73,73,0.7999999999999999,10000,0.30000000000000004,0.3445589674284341
squared_error,best,2,5,0.6,10,0.8999999999999999,0.3477130591452584
poisson,random,10,37,0.8999999999999999,10000,0.5,0.3477130591452584
squared_error,random,73,73,0.1,1000,0.8999999999999999,0.3477130591452584
squared_error,random,100,10,0.30000000000000004,1000,0.9999999999999999,0.3477130591452584
absolute_error,best,10,1,0.5,10000,0.2,0.3445589674284341
absolute_error,random,100,2,0.7999999999999999,1,0.4,0.3445589674284341
squared_error,random,73,10,0.4,1000,0.4,0.3477130591452584
absolute_error,random,100,10,0.1,10,0.8999999999999999,0.3445589674284341
friedman_mse,best,5,37,0.7,1,0.6,0.3477130591452584
squared_error,best,73,2,0.30000000000000004,10000,0.1,0.3477130591452584
friedman_mse,best,37,2,0.30000000000000004,10000,0.7,0.3477130591452584
absolute_error,random,73,5,0.9999999999999999,1000,0.4,0.3445589674284341
absolute_error,random,73,10,0.1,100,0.6,0.3445589674284341
absolute_error,random,100,100,0.7,1,0.0,0.3445589674284341
poisson,random,10,37,0.5,10000,0.7,0.3477130591452584
squared_error,random,37,73,0.8999999999999999,10,0.2,0.3477130591452584
poisson,best,37,100,0.6,10,0.4,0.3477130591452584
absolute_error,best,37,37,0.2,10,0.0,0.3445589674284341
absolute_error,random,5,2,0.0,10,0.0,0.11408418234410873
absolute_error,random,37,2,0.4,1000,0.8999999999999999,0.3445589674284341
poisson,best,5,1,0.7999999999999999,10,0.30000000000000004,0.3477130591452584
friedman_mse,best,10,100,0.7,10,0.6,0.3477130591452584
absolute_error,best,2,73,0.5,1000,0.4,0.3445589674284341
absolute_error,random,37,1,0.6,1,0.1,0.3445589674284341
absolute_error,random,73,5,0.30000000000000004,100,0.4,0.3445589674284341
poisson,best,10,2,0.5,1000,0.2,0.3477130591452584
absolute_error,random,5,37,0.8999999999999999,10,0.30000000000000004,0.3445589674284341
absolute_error,best,5,1,0.2,100,0.8999999999999999,0.3445589674284341
absolute_error,best,10,1,0.9999999999999999,10,0.9999999999999999,0.3445589674284341
absolute_error,random,37,100,0.0,1000,0.9999999999999999,0.3390058973531292
absolute_error,best,10,37,0.2,1,0.5,0.3445589674284341
squared_error,random,73,37,0.7,10,0.0,0.3477130591452584
absolute_error,random,37,5,0.8999999999999999,10000,0.0,0.3445589674284341
friedman_mse,best,73,100,0.0,10,0.30000000000000004,0.1777602437309369
poisson,best,37,73,0.5,100,0.0,0.3477130591452584
friedman_mse,random,37,73,0.7999999999999999,10,0.30000000000000004,0.3477130591452584
absolute_error,random,10,10,0.4,10000,0.8999999999999999,0.3445589674284341
squared_error,best,73,37,0.8999999999999999,10000,0.2,0.3477130591452584
friedman_mse,random,2,5,0.1,1,0.6,0.3477130591452584
squared_error,random,73,73,0.4,10,0.4,0.3477130591452584
absolute_error,random,2,37,0.30000000000000004,10,0.4,0.3445589674284341
squared_error,best,2,5,0.7,1000,0.1,0.3477130591452584
poisson,random,10,100,0.7,1,0.9999999999999999,0.3477130591452584
poisson,random,2,73,0.2,10,0.4,0.3477130591452584
poisson,best,2,10,0.6,1,0.30000000000000004,0.3477130591452584
friedman_mse,random,10,2,0.4,1000,0.0,0.3477130591452584
poisson,random,2,5,0.2,100,0.9999999999999999,0.3477130591452584
absolute_error,random,73,10,0.9999999999999999,10,0.7999999999999999,0.3445589674284341
friedman_mse,random,2,100,0.6,1000,0.6,0.3477130591452584
absolute_error,best,10,2,0.2,100,0.1,0.3445589674284341
poisson,random,10,2,0.7,1,0.8999999999999999,0.3477130591452584
poisson,random,37,73,0.4,1,0.8999999999999999,0.3477130591452584
poisson,best,2,100,0.0,10000,0.0,0.1496022558903707
absolute_error,random,2,37,0.6,100,0.1,0.3445589674284341
poisson,best,73,37,0.4,100,0.0,0.3477130591452584
poisson,random,100,10,0.2,10,0.9999999999999999,0.3477130591452584
squared_error,random,37,10,0.8999999999999999,10,0.7999999999999999,0.3477130591452584
poisson,random,73,37,0.9999999999999999,10,0.2,0.3477130591452584
friedman_mse,random,100,1,0.5,10,0.8999999999999999,0.3477130591452584
squared_error,random,2,1,0.2,10,0.8999999999999999,0.3477130591452584
poisson,random,5,2,0.9999999999999999,10000,0.4,0.3477130591452584
squared_error,random,2,5,0.9999999999999999,1000,0.5,0.3477130591452584
absolute_error,best,5,10,0.5,10000,0.6,0.3445589674284341
poisson,random,2,100,0.9999999999999999,1,0.4,0.3477130591452584
squared_error,random,73,37,0.8999999999999999,10000,0.6,0.3477130591452584
friedman_mse,random,5,2,0.5,1,0.2,0.3477130591452584
friedman_mse,best,73,10,0.30000000000000004,10000,0.7999999999999999,0.3477130591452584
poisson,random,100,37,0.9999999999999999,1000,0.7999999999999999,0.3477130591452584
absolute_error,best,37,2,0.2,1000,0.6,0.3445589674284341
poisson,random,37,10,0.1,1,0.7999999999999999,0.3477130591452584
squared_error,random,5,1,0.7,100,0.6,0.3477130591452584
squared_error,random,2,1,0.6,100,0.7999999999999999,0.3477130591452584
absolute_error,random,10,73,0.4,10000,0.5,0.3445589674284341
friedman_mse,random,100,1,0.1,1,0.2,0.3477130591452584
squared_error,random,5,37,0.2,10000,0.4,0.3477130591452584
poisson,random,100,5,0.7,100,0.7,0.3477130591452584
poisson,random,2,73,0.6,100,0.1,0.3477130591452584
absolute_error,random,10,5,0.4,10000,0.30000000000000004,0.3445589674284341
squared_error,random,5,37,0.5,10,0.30000000000000004,0.3477130591452584
absolute_error,random,100,37,0.1,10,0.4,0.3445589674284341
squared_error,random,2,37,0.5,10000,0.7999999999999999,0.3477130591452584
absolute_error,best,73,37,0.0,10,0.7999999999999999,0.1155833620668848
absolute_error,best,37,10,0.0,10,0.6,0.10683269769928853
squared_error,best,73,5,0.5,10000,0.6,0.3477130591452584
friedman_mse,random,37,1,0.5,10,0.4,0.3477130591452584
absolute_error,random,37,5,0.2,1,0.7999999999999999,0.3445589674284341
friedman_mse,random,37,73,0.6,100,0.1,0.3477130591452584
poisson,random,73,2,0.9999999999999999,10,0.5,0.3477130591452584
squared_error,random,73,73,0.4,10000,0.30000000000000004,0.3477130591452584
absolute_error,best,2,73,0.9999999999999999,1,0.7,0.3445589674284341
absolute_error,best,5,73,0.4,10000,0.4,0.3445589674284341
poisson,random,2,37,0.2,1000,0.8999999999999999,0.3477130591452584
squared_error,random,73,2,0.6,1,0.1,0.3477130591452584
squared_error,best,100,37,0.8999999999999999,100,0.4,0.3477130591452584
friedman_mse,random,37,10,0.8999999999999999,10000,0.0,0.3477130591452584
friedman_mse,random,100,100,0.5,1000,0.1,0.3477130591452584
squared_error,random,10,5,0.4,1000,0.1,0.3477130591452584
poisson,random,2,37,0.8999999999999999,10000,0.9999999999999999,0.3477130591452584
squared_error,random,37,100,0.7,100,0.6,0.3477130591452584
absolute_error,best,37,2,0.30000000000000004,1000,0.5,0.3445589674284341
absolute_error,random,100,10,0.8999999999999999,10,0.7,0.3445589674284341
friedman_mse,random,100,73,0.7,10,0.4,0.3477130591452584
friedman_mse,random,10,1,0.9999999999999999,100,0.30000000000000004,0.3477130591452584
absolute_error,random,5,1,0.5,10,0.4,0.3445589674284341
friedman_mse,random,37,37,0.30000000000000004,10000,0.7999999999999999,0.3477130591452584
poisson,random,37,100,0.4,10,0.0,0.3477130591452584
absolute_error,random,100,37,0.4,1000,0.0,0.3445589674284341
squared_error,random,5,73,0.8999999999999999,1,0.9999999999999999,0.3477130591452584
poisson,best,10,2,0.6,10000,0.7,0.3477130591452584
squared_error,random,100,100,0.7,10000,0.6,0.3477130591452584
poisson,best,5,37,0.5,100,0.8999999999999999,0.3477130591452584
friedman_mse,best,2,2,0.4,1000,0.1,0.3477130591452584
squared_error,random,100,37,0.5,10,0.2,0.3477130591452584
friedman_mse,random,100,1,0.30000000000000004,1,0.7999999999999999,0.3477130591452584
poisson,random,100,37,0.1,100,0.1,0.3477130591452584
poisson,best,10,73,0.30000000000000004,10000,0.2,0.3477130591452584
absolute_error,best,5,5,0.1,1000,0.4,0.21925432221772853
squared_error,random,100,1,0.1,1,0.5,0.3477130591452584
absolute_error,random,100,1,0.2,100,0.1,0.3445589674284341
poisson,best,2,10,0.1,1,0.1,0.3477130591452584
squared_error,best,37,100,0.0,100,0.0,0.14407264139228765
absolute_error,random,73,73,0.5,10000,0.2,0.3445589674284341
friedman_mse,best,10,37,0.2,10,0.7,0.3477130591452584
absolute_error,random,5,10,0.0,10,0.30000000000000004,0.11038478093868875
absolute_error,best,2,37,0.2,100,0.7999999999999999,0.3445589674284341
poisson,random,100,37,0.7,1,0.7999999999999999,0.3477130591452584
absolute_error,random,10,2,0.2,100,0.7,0.3445589674284341
absolute_error,best,37,10,0.7,1,0.6,0.3445589674284341
friedman_mse,random,100,10,0.6,100,0.4,0.3477130591452584
friedman_mse,best,37,1,0.0,10000,0.2,0.18147728724681556
poisson,best,100,2,0.30000000000000004,10,0.2,0.3477130591452584
squared_error,best,10,37,0.30000000000000004,1,0.1,0.3477130591452584
friedman_mse,random,100,2,0.7999999999999999,100,0.4,0.3477130591452584
poisson,best,37,100,0.8999999999999999,100,0.7,0.3477130591452584
squared_error,best,37,10,0.5,1,0.5,0.3477130591452584
friedman_mse,random,37,1,0.7,1000,0.6,0.3477130591452584
friedman_mse,best,10,37,0.8999999999999999,1,0.2,0.3477130591452584
squared_error,best,37,1,0.4,1,0.2,0.3477130591452584
friedman_mse,random,10,100,0.2,100,0.30000000000000004,0.3477130591452584
friedman_mse,best,100,1,0.0,100,0.30000000000000004,0.18169379702331212
friedman_mse,best,5,1,0.8999999999999999,100,0.2,0.3477130591452584
poisson,best,5,1,0.1,100,0.30000000000000004,0.3477130591452584
squared_error,best,2,2,0.5,100,0.0,0.3477130591452584
poisson,random,37,1,0.0,1,0.2,0.3397334064045579
squared_error,best,37,10,0.7,1000,0.9999999999999999,0.3477130591452584
absolute_error,best,73,37,0.6,100,0.0,0.3445589674284341
absolute_error,random,5,37,0.0,1000,0.1,0.1871588748661471
squared_error,best,5,73,0.9999999999999999,1000,0.30000000000000004,0.3477130591452584
squared_error,random,100,10,0.1,10000,0.7,0.3477130591452584
friedman_mse,best,10,1,0.2,1,0.8999999999999999,0.3477130591452584
absolute_error,best,73,37,0.1,1000,0.4,0.21925432221772853
squared_error,best,37,1,0.2,10000,0.7,0.3477130591452584
friedman_mse,best,2,2,0.7999999999999999,1,0.8999999999999999,0.3477130591452584
absolute_error,random,100,1,0.7,10,0.6,0.3445589674284341
poisson,best,2,1,0.8999999999999999,100,0.7,0.3477130591452584
absolute_error,best,73,1,0.6,1000,0.7999999999999999,0.3445589674284341
absolute_error,random,37,5,0.1,1,0.0,0.3445589674284341
friedman_mse,best,100,5,0.7999999999999999,100,0.7999999999999999,0.3477130591452584
friedman_mse,random,5,73,0.5,1000,0.2,0.3477130591452584
absolute_error,best,100,5,0.9999999999999999,1000,0.2,0.3445589674284341
squared_error,best,73,1,0.1,100,0.4,0.22081464268088155
absolute_error,best,10,73,0.5,1,0.9999999999999999,0.3445589674284341
poisson,random,37,5,0.8999999999999999,10,0.9999999999999999,0.3477130591452584
poisson,best,37,2,0.1,1000,0.5,0.3477130591452584
squared_error,best,5,100,0.1,100,0.4,0.22081464268088155
friedman_mse,random,37,1,0.5,1,0.6,0.3477130591452584
friedman_mse,random,37,2,0.5,100,0.4,0.3477130591452584
absolute_error,best,37,37,0.2,10,0.6,0.3445589674284341
absolute_error,best,10,37,0.7999999999999999,10000,0.5,0.3445589674284341
poisson,best,2,5,0.0,1000,0.2,0.10987191871639758
poisson,random,73,37,0.7999999999999999,1,0.30000000000000004,0.3477130591452584
absolute_error,best,2,73,0.7,100,0.30000000000000004,0.3445589674284341
absolute_error,best,10,73,0.7999999999999999,10000,0.6,0.3445589674284341
squared_error,random,5,100,0.30000000000000004,1,0.1,0.3477130591452584
absolute_error,best,2,5,0.0,1000,0.7999999999999999,0.11322925708517723
absolute_error,best,5,10,0.6,1,0.4,0.3445589674284341
squared_error,random,2,1,0.9999999999999999,100,0.30000000000000004,0.3477130591452584
friedman_mse,random,5,100,0.7999999999999999,10,0.7,0.3477130591452584
absolute_error,random,73,5,0.4,10000,0.0,0.3445589674284341
absolute_error,best,10,2,0.4,100,0.9999999999999999,0.3445589674284341
absolute_error,best,5,100,0.7,100,0.2,0.3445589674284341
friedman_mse,best,5,100,0.30000000000000004,10,0.7,0.3477130591452584
friedman_mse,best,100,100,0.0,100,0.9999999999999999,0.1777602437309369
absolute_error,best,10,5,0.9999999999999999,1,0.8999999999999999,0.3445589674284341
friedman_mse,random,10,1,0.8999999999999999,1,0.1,0.3477130591452584
absolute_error,best,5,5,0.2,1,0.7,0.3445589674284341
absolute_error,best,37,5,0.30000000000000004,100,0.2,0.3445589674284341
squared_error,random,5,37,0.7999999999999999,1000,0.9999999999999999,0.3477130591452584
friedman_mse,best,37,37,0.6,10,0.8999999999999999,0.3477130591452584
squared_error,best,10,100,0.0,1000,0.8999999999999999,0.14407264139228765
absolute_error,best,10,2,0.9999999999999999,1000,0.1,0.3445589674284341
poisson,best,2,100,0.5,10,0.6,0.3477130591452584
poisson,best,2,73,0.2,1,0.6,0.3477130591452584
absolute_error,random,100,100,0.0,10,0.30000000000000004,0.3390058973531292
friedman_mse,random,5,73,0.9999999999999999,100,0.30000000000000004,0.3477130591452584
friedman_mse,best,73,2,0.6,1,0.9999999999999999,0.3477130591452584
friedman_mse,random,2,100,0.1,1000,0.8999999999999999,0.3477130591452584
absolute_error,best,10,5,0.1,10,0.30000000000000004,0.21925432221772853
poisson,random,100,2,0.7999999999999999,1000,0.8999999999999999,0.3477130591452584
poisson,best,73,37,0.2,1,0.4,0.3477130591452584
poisson,best,5,100,0.7999999999999999,1000,0.1,0.3477130591452584
poisson,best,2,37,0.2,10000,0.5,0.3477130591452584
absolute_error,best,73,100,0.6,10000,0.9999999999999999,0.3445589674284341
friedman_mse,random,100,37,0.0,10000,0.0,0.1996948897886506
